context/aspect	opinion/argument	reason/factoid	preference	direct	method	super	question
1	0	1	1	1	0	0	какая дисциплина проявляется чаще  внешняя или внутренняя почему так происходит
0	1	1	0	1	0	0	как отличить китайский айфон от оригинал
0	1	0	1	1	0	0	что выбрать поло или солярис
0	0	0	0	0	0	0	как отличить iphone рст
0	1	0	2	1	0	0	чем зима лучше лета
0	0	1	0	1	0	0	в чем состоит различие между естественными и формальными языками
0	1	0	1	0	0	0	какой лучше обогреватель
0	1	0	1	1	0	0	что лучше nan или nestogen
0	1	0	1	0	0	1	какая самая лучшая клубная музыка
1	0	1	1	1	0	0	кто больше изменяет мужчины или женщины статистика
1	0	0	1	0	1	1	как дешевле всего добраться из москвы в питер
0	1	0	1	1	0	0	что лучше xbox 360 или playstation 3 или компьютер
0	1	1	0	1	1	0	как отличить всд от гипертонии
1	0	1	1	1	0	0	где дешевле в турции или греции
0	1	0	1	1	0	0	что выбрать дом или квартиру
1	0	1	1	1	0	0	как правильно красивее или красивее
1	0	1	0	1	0	0	чем отличаются друг от друга пилы продольного, поперечного и смешанного пиления?
0	0	0	0	1	1	0	как проверить китайский телефон или нет
0	0	1	0	1	0	0	чем дробление отличается от митотического деления
0	0	1	0	0	0	0	как отличить антрацит
0	1	0	1	1	0	0	какое ружье лучше иж 27 или тоз 34
0	1	0	1	1	0	0	что лучше галакси с или айфон
0	1	0	1	0	0	0	какой цифровой фотоапарат лучше выбрать
0	1	0	0	1	0	0	в чем разница между максимальной и домашкой
0	1	0	1	0	0	0	какие брекеты лучше?
1	1	0	1	0	0	0	где лучше устанавливать детское кресло
0	1	0	1	1	0	0	какой телефон лучше lg или samsung
0	0	1	0	1	0	0	чем отличаются статус студента государственного и негосударственного вуза?
1	1	0	1	1	0	0	кто появился раньше курица или яйцо
0	1	0	2	1	0	0	чем россия лучше германии
1	0	1	1	0	0	1	на каком языке говорит наибольшее число людей в мире
1	1	0	1	1	0	0	какая свекла полезней сырая или вареная
1	0	1	1	0	0	1	какие авто самые популярные в россии
0	1	0	1	0	0	0	какие всесезонные шины лучше
0	0	1	1	0	0	1	в каких горах россии самый большой набор природных зон
0	1	0	1	1	0	0	какой бензин выбрать 95 или 92
1	1	0	1	0	0	0	где лучше садить клубнику
0	1	0	0	0	1	0	как правильно выбрать чай
0	1	0	1	0	1	0	как выбрать ноутбук купить
0	1	0	1	0	0	0	какой выбрать фильтр для воды отзывы
1	0	1	1	0	0	1	какой телефон самый дорогой в мире
0	0	1	0	1	0	0	в чём сходство персидских царей и фараонов
0	1	0	1	0	0	1	где лучше всего рожать в курске
0	1	1	0	1	0	0	как отличить самку от самца волнистого попугая
0	1	0	0	0	0	1	какой производитель спортивного питания самый лучший
0	1	0	1	1	0	0	что лучше сигма или кенон
0	1	0	1	1	0	0	что лучше плазма или жк телевизор
0	1	0	1	1	0	0	кто лучше жена или любовница
0	0	1	0	1	0	0	чем отличается фотоэпиляция от лазерной
0	1	0	2	1	0	0	чем пиво хуже уринотерапии
0	1	0	1	1	0	0	что выбрать nobo или noirot
1	0	1	1	1	0	0	почему лесные первоцветы чаще всего имеют белую или желтую окраску
0	0	1	0	1	0	0	чем отличается королек от хурмы
1	0	1	1	0	0	1	какая самая дождливая страна
0	1	0	1	0	0	0	какая фирма резины лучше
0	0	0	0	0	0	1	какие опыты подтверждают что вещества состоят из мельчайших частиц
0	1	0	1	1	0	0	что выбрать крит или кипр
1	1	0	0	1	1	0	как по внешнему виду можно отличить таракана и сверчка
0	1	0	1	1	0	0	что лучше ваз 114 или ваз  калина
0	1	0	1	0	0	1	что лучше бухать
0	0	1	0	1	0	0	чем отличается ваз 2105 от 2107
0	0	1	0	1	0	0	что общего у частиц с предлогами и союзами и чем частицы отличаются от них
0	1	0	1	1	0	0	какой экран выбрать матовый или глянцевый
0	0	1	0	1	1	0	как отличить метиса от овчарки
0	1	0	1	1	0	0	что выбрать ксенон или галоген
1	0	1	1	0	0	1	какая змея самая опасная
0	0	0	0	0	0	1	что фридрих ницше считал лучшим лекарством для мужчины
1	0	1	1	0	0	1	какая из форм международного сотрудничества является самой «молодой»?
0	0	1	1	0	0	1	который является самой большой страной в мире
0	0	1	0	1	0	0	чем отличается айпод от айпода
0	1	0	1	0	0	0	какие потолки лучше
0	1	0	1	0	0	0	когда лучше сажать розы
1	1	0	1	0	0	0	с чем лучше есть сыр
0	1	0	1	0	0	0	какой автозагар  лучше
0	1	0	1	1	1	0	как выбрать видеорегистратор
0	1	0	0	1	1	0	как отличить настоящие евро от фальшивых
0	0	1	0	1	0	0	чем отличается сертификация от декларации
0	0	1	1	1	0	0	кто выиграл зенит или милан
0	1	0	1	1	0	0	что выбрать бокс или тайский бокс
0	1	0	2	0	0	0	какой телефон лучше айфона 4s
0	1	0	1	0	0	0	какой биогель лучше?
0	1	0	1	0	0	0	какая гостиница в измайлово лучше
1	1	0	1	1	0	0	какой язык сложнее японский или китайский
1	1	0	1	0	0	0	какой планшет купить 2012
0	0	1	0	1	0	0	чем отличается артбук от ноутбука
1	1	1	2	1	0	0	почему соленость балтийского моря меньше чем соленость красного моря
0	1	0	1	0	0	0	когда лучше покупать участок
1	1	0	2	1	0	0	почему при ручной стирке белья спина устает больше чем руки
0	1	0	1	0	1	0	как выбрать веб-камеру
0	1	0	1	0	0	0	какую мойку для машины купить?
0	1	0	1	0	0	0	какими танцами лучше заниматься
0	0	1	0	1	0	0	чем внешнее строение папоротника отличается от строения хвощей и плаунов
0	0	1	0	1	0	0	чем займ отличается от кредита
0	1	0	1	1	0	0	что лучше алмаг или дэнас
0	1	0	1	0	0	0	что лучше вьетнам или хайнань
1	1	1	2	1	0	0	почему сжать железный брусок труднее чем сжать резиновый ластик
0	1	0	0	1	1	0	как отличить простуду от аллергии
1	1	0	1	0	0	0	что лучше приготовить из морского коктейля
0	1	0	1	1	0	0	что лучше ноутбук или пк
1	1	0	1	0	0	0	как лучше ехать на кубу
0	0	1	0	1	0	0	что общего было в войне алой и белой розы и борьбе французской знати с людовиком 11
0	1	0	1	1	0	0	что лучше автомат или механика тойота королла
1	0	1	1	1	0	0	какой процесс появился в эволюции раньше  возбуждение или торможение почему
0	1	0	1	0	0	0	как лучше укладывать вьющиеся волосы
1	1	0	0	0	0	0	чем лучше вычесывать лабрадора
0	1	0	1	1	0	0	что лучше nvidia или amd
0	1	0	1	1	0	0	что лучше айпад или планшет
0	1	0	1	1	0	0	что купить canon 1100d или nikon d3100
0	1	0	1	1	0	0	что лучше телефоны htc или samsung
1	1	0	1	0	0	1	какие чемоданы самые качественные
0	0	1	0	1	0	0	какая разница между католиками и православными
1	0	1	2	1	0	0	в чем заключается усложнение строения тела губок по сравнению с простейшими
0	0	1	0	1	0	0	чем звезды отличаются от планет
0	0	1	0	1	0	0	чем отличается мяч mva200 от mva300
0	1	0	1	1	0	0	когда лучше отдыхать в тайланде
1	1	0	1	0	0	1	какое порно самое жестокое
0	1	0	1	1	0	0	что лучше планшет или смартфон
1	0	1	1	1	0	0	какой исполнитель надёжней человек или компьютер почему
1	1	0	0	0	0	0	какую сумку выбрать на лето 2012
0	1	0	1	1	0	0	какой утюг лучше филипс или тефаль
1	1	0	1	0	0	0	какое дерево для лестницы
0	1	0	1	1	0	0	где лучше купить гривны в россии или на украине
0	1	0	1	1	0	0	что выбрать 64 или 86
1	0	1	1	1	0	0	как правильно на украине или в украине
0	1	0	1	1	0	0	что выбрать грецию или тунис
1	0	1	1	1	0	0	как пишется  слово в дали или вдали
0	1	0	1	0	0	1	какие ортопедические матрасы лучшие
0	1	0	0	1	0	0	что такое гласность чем она отличается от свободы слова
1	0	1	1	1	0	0	как правильно звонишь или звонишь
0	1	0	2	1	0	0	чем компьютер лучше ноутбука
1	1	0	1	1	0	0	что сложнее сказать лично для тебя люблю прости или прощай
0	1	1	1	1	0	0	когда лучше бегать утром или вечером
0	1	0	0	1	1	0	как отличить бриллиант от подделки
0	1	0	1	0	0	0	какой лучше выбрать крем от растяжек
0	1	0	1	0	1	0	как выбрать эпилятор
1	0	1	1	0	0	1	в каком банке самая низкая процентная ставка на кредит
1	0	1	1	1	0	0	что дороже штукатурка или сайдинг
1	0	1	1	1	0	0	что остынет быстрее стакан компота или стакан киселя почему
0	1	0	1	1	0	0	что лучше двушка или однушка
0	1	0	1	1	0	0	что лучше бмв или мерседес
0	0	0	0	0	0	1	сколько стоит самая дорогая машина в россии
0	1	0	2	1	0	0	чем лучше секс без презерватива
0	0	1	0	1	0	0	чем различается нуклеарная и многопоколенная семья
1	0	1	0	1	0	0	что общего между растительностью и животным миром
1	1	0	1	0	0	0	какое оливковое масло подходит для салата
1	0	1	1	0	0	0	в каком пиве больше эстрогена
0	1	0	1	1	0	0	что лучше canon или nikon
0	1	0	1	0	0	0	какая сварка лучше
1	0	1	1	0	0	0	как пишется пробовать или пробывать?
1	1	0	1	0	0	0	какие телевизоры ломаются чаще
0	1	0	0	1	0	0	от каких частей речи и как нужно отличать производные предлоги
1	0	1	1	1	0	0	какой грунт песчаный или глинистый быстрее высыхает после дождя почему
0	1	0	0	1	1	0	как отличить настоящий терафлю от подделки
0	1	0	1	0	0	1	какая марка ноутбука лучшая
0	1	0	1	1	0	0	что выбрать пхукет или патайю
1	1	0	1	0	1	1	какой браузер потребляет меньше всего оперативной памяти
0	1	0	0	0	0	0	какая разница между детьми
0	1	0	1	1	0	0	кто круче блондинки или брюнетки
0	1	0	1	1	0	0	какой водонагреватель выбрать газовый или электрический
0	1	0	1	0	1	0	как выбрать пудру для лица
0	1	0	1	0	0	1	какой лучше брать планшетный компьютер
0	1	0	1	1	0	0	какой планшет лучше apple или samsung
1	1	0	1	0	0	0	где лучше ипотечный кредит
0	0	1	0	1	1	0	как различить причастие от прилагательного
0	1	0	1	0	0	1	какие зимние шины самые лучшие
1	0	1	1	1	0	0	как правильно тортов или тортов
0	0	1	0	1	0	0	чем отличается доклад от реферата
0	0	1	0	1	0	0	чем романтизм отличается от симентализма
0	0	1	0	1	0	0	что можно сказать о составе воздуха в большом городе и в деревне
0	1	0	1	0	0	0	чем лучше заархивировать фотографии
0	1	0	1	1	0	0	что круче прокуратура или фсб
0	1	0	1	0	0	1	какой виски самый лучший
0	1	0	1	0	0	0	какую видеокамеру лучше купить в 2012
0	1	0	1	1	0	0	что лучше ауди а4 или ауди а6
1	0	1	0	1	0	0	какие органы появились у моллюсков по сравнению с червями
1	0	1	0	1	0	0	что появилось у человека раньше мышление или язык
0	1	1	1	1	0	0	што лучше аминокислоты или гейнер
1	0	1	2	1	0	0	какие особенности эритроцитов отличают млекопитающих
1	1	0	1	0	0	0	чем лучше рисовать на компьютере
1	0	1	0	1	0	0	чем отличаются ворона галка и грач
0	1	1	0	1	0	0	чем отличается толокно от геркулеса
1	0	1	1	0	0	0	какой подход к формированию понятия натурального числа представлен в системе д. б. эльконина – в. в. давыдова?
0	1	0	1	1	0	0	что лучше имплант или съемный протез
1	1	0	1	0	0	0	в каком роддоме ставрополя лучше рожать
1	1	0	1	0	0	0	где отдохнуть в марте на море
0	1	0	1	0	0	0	в какое время отдыхать в тайланде
1	1	0	1	1	0	0	3 какую одежду лучше выбрать для похода в лес камуфляж или яркую желтую курточку почему
1	0	1	1	1	0	0	как правильно  килограмм или килограммов
0	0	0	0	0	0	1	какая сила ветра по шкале бофорта является наименьшей
1	1	1	2	1	0	0	почему в сухом воздухе переносить жару легче чем во влажном
1	1	0	1	0	0	1	что ты считаешь наиболее нелепым из того,что делают люди?
1	1	0	1	1	0	0	кто сильнее россия или китай
0	1	1	0	1	0	0	как отличить нокиа н8 от китайского
0	1	0	1	1	0	0	сколько клапанов лучше 8 или 16 клапанный
0	1	0	1	0	0	0	где лучше менять рубли на гривны
0	1	0	1	0	0	0	когда лучше подстригатся
0	1	0	0	1	0	0	чем стимулирование отличается от мотивации
0	1	0	1	1	0	0	какой фотоаппарат лучше canon 600d или nikon d90
0	0	1	0	1	0	0	чем отличается холм от горы
0	0	1	0	1	0	0	что общего между белками и аминокислотами
0	1	0	1	1	0	0	что лучше мультиварка или скороварка
0	0	1	0	1	0	0	чем отличаются самостоятельные части речи от служебных
0	0	1	1	1	0	0	как писать во вложении или во вложение
0	1	0	2	1	0	0	чем ситилинк лучше сампо
0	1	0	0	1	1	0	как отличить приход месячных от беременности
1	1	0	1	0	0	1	какой самы доходный бизнес
0	1	0	1	1	0	0	что выбрать ип или ооо
1	0	1	1	1	0	0	какой экспозамер выбрать
0	1	0	1	1	0	0	что лучше купить телефон или планшет
0	1	0	1	1	0	0	что лучше французский жим или жим узким хватом
0	1	1	0	1	0	0	как отличить ложные схватки от настоящих
0	1	0	0	1	0	0	как определить кожа или нет сумка
0	0	1	0	1	0	0	чем отличается бобы от фасоли
0	1	0	1	1	0	0	какие процессоры лучше amd или intel
0	1	0	1	1	0	0	какой йо йо лучше катана или мачете
0	1	1	0	1	0	0	чем отличается samsung s5830 от s5830i
0	1	0	1	0	0	0	какие аминокислоты лучше брать
0	1	0	1	1	0	0	какой iphone лучше 4s или 5
0	1	0	1	1	0	0	кто лучше барселона или реал
1	1	0	1	1	0	0	где лучше жить в доме или квартире
0	1	0	1	0	0	0	какой камин лучше отзывы
0	1	0	1	1	0	0	что лучше стеклопластик или полипропилен
0	1	0	1	0	1	0	как выбрать велотренажер
0	1	0	1	0	0	0	какой велотренажер выбрать
1	1	0	1	1	0	0	какой надувной матрас надежнее
1	1	0	1	0	1	0	как лучше пожарить лисички
0	1	0	1	0	0	0	какое масло лучше заливать в двигатель ваз 2114
1	1	0	1	0	0	0	как лучше продать товар через интернет
0	1	0	1	1	0	0	что лучше лэтуаль или иль де ботэ
1	0	1	1	1	0	0	как правильно кампания или компания
0	1	0	2	0	0	0	почему на структурных почвах растения растут лучше
0	1	0	1	0	1	0	как выбрать хорошую компьютерную мышь
0	0	1	0	1	0	0	известно что наряду с научной классификацией живых организмов существует и практическая классификация. в чём заключается принципиальное различие между ними?
1	0	1	0	1	1	0	как отличить мишку тедди от подделки
0	1	0	0	1	0	0	что общего в судьбе сони и раскольникова
1	0	1	1	0	0	1	какая самая длинная река в сша
0	1	0	1	1	0	0	что лучше коммунарка или московский
0	0	1	0	1	0	0	чем отличается орел от коршуна
0	0	1	0	1	0	0	чем атом отличается от молеку
1	1	0	1	0	0	1	какое из устройств обеспечивает наименьшую сетевую безопасность
0	0	1	0	1	0	0	в чем сходство стрижей и ласточек
0	1	0	1	0	0	0	чем лучше делать масаж
0	1	0	1	0	1	0	как выбрать разделочную доску
0	0	0	0	0	1	1	как определить фальшивые деньги 500 рублей
0	1	0	1	0	0	1	какие линзы самые лучшие
1	1	0	1	1	0	0	что было раньше яйцо или курица
0	1	0	1	1	0	0	какая ванна лучше чугунная или акриловая
1	0	1	1	0	0	0	в какое время суток лучше усваиваются молочные продукты
0	1	0	1	0	0	0	из какого материала лучше заказать кухонный гарнитур
1	1	0	1	0	0	0	где лучше заказывать пластиковые окна
0	1	0	1	0	0	0	какой тип матраса лучше
1	1	0	1	0	0	1	какой внедорожник самый надежный
1	0	1	1	1	0	0	что новее 3200 или 5100
0	0	1	0	1	0	0	чем отличается рок от шансона
0	1	0	1	0	0	0	куда поехать отдыхать зимой
0	1	0	1	1	0	0	что выбрать планшет или электронную книгу
1	1	0	0	1	0	0	какой срок между капитаном и майором
0	0	1	0	1	0	0	чем моча больного человека отличается от мочи здорового человека
1	1	0	1	1	0	0	что лучше эффералган или нурофен для детей
1	0	1	0	1	1	0	как можно опредилить беременна или нет
0	1	0	1	0	0	0	как лучше заколоть чёлку
1	1	0	1	1	0	0	кто круче леди гага или psy
0	1	0	1	0	0	1	какие памперсы самые лучшие
1	1	0	1	0	0	0	какой цветок лучше для офиса
0	1	0	1	1	0	0	что выбрать калину или гранту
1	1	0	1	0	0	0	что подарить лучше подруге на день рождения
1	1	1	1	1	0	0	когда лучше делать тест на беременность утром или вечером
1	1	1	1	1	0	0	что полезнее хлеб или хлебцы
1	1	0	0	1	0	0	чем отличается сиофор от глюкофаж
0	0	1	0	1	0	0	в чем заключается основное отличие реформы и революции?
0	1	0	1	1	0	0	кто круче тайсон или кличко
0	1	0	2	1	0	0	чем литые диски лучше штамповки
0	1	0	1	0	1	0	как выбрать компьютер
0	1	0	1	1	0	0	какой телевизор лучше самсунг или филипс
0	1	0	1	0	1	0	как выбрать чайник для плиты
0	1	0	1	1	0	0	что лучше frostbite 2 или cryengine 3
0	0	1	0	1	0	0	как в действительности звали дочь кочубея и отличалась ли её реальная судьба от поэтической
0	1	0	0	1	0	0	как отличить съедобные грибы от несъедобных
1	1	0	1	1	0	0	кто победит волк или питбуль
1	0	1	1	1	0	0	какой из курортов болгарии обладает более старой отельной базой по сравнению с другими
0	1	0	1	0	0	0	какой фирмы выбрать варочную панель?
0	0	0	0	0	0	0	можно заменить дюфастон на утрожестан
0	1	0	0	1	0	0	в чем разница между led и lcd
0	0	0	0	0	0	1	в каком музее хранится самое крупное в мире собрание британского искусства
0	1	0	1	1	0	0	что лучше galaxy note или tab
1	0	1	1	0	0	1	какое самое быстрое животное?
0	1	0	1	0	0	0	какую машину купить за 50000
1	1	0	1	0	0	0	каким заняться спортом в 12 лет
0	0	1	2	1	0	0	в чем преимущество клонирования по сравнению с традиционными методами селекции
0	0	1	0	1	0	0	к каким наукам относится информатика – к естественным или техническим?
1	1	0	1	1	0	0	что полезнее сыворотка или кефир
1	1	0	1	0	0	0	какие эфирные масла смягчают кожу
0	1	0	1	1	0	0	что лучше рено меган или форд фокус
0	1	0	1	1	0	0	что лучше xbox 360 или playstation 3
0	1	0	1	1	0	0	что лучше тавегил или супрастин
0	1	0	1	1	0	0	кто круче селена гомес или майли сайрус
1	1	0	1	0	0	1	какая краска лучшая для блондинок
0	1	0	1	1	0	0	что лучше жк плазма или led
0	0	1	0	1	0	0	чем отличается село от деревни
1	1	0	1	0	0	0	в каких видах спорта требуется выносливость
0	1	0	1	0	1	0	какой холодильник выбрать
0	1	1	0	1	0	0	как отличить ложный опенок от настоящего
0	1	0	1	1	0	0	какая лучше акриловая или чугунная
0	0	0	0	0	0	1	что дает мозгу наибольшую информацию
1	0	1	1	1	0	0	как правильно договора или договоры
0	0	1	0	1	0	0	чем отличаются колпаки от литых дисков
1	1	0	1	0	0	0	где отдыхать на новый год 2013
1	1	0	1	0	0	1	в каких банках самые высокие проценты по вкладам в валюте
0	1	0	2	1	0	0	чем интернет лучше телевидения
1	0	1	0	1	0	0	чем кольчатые черви по внешнему виду отличаются от круглых червей?
0	1	0	1	0	0	0	где лучше купить машину с пробегом
0	0	0	1	1	0	0	что вкуснее индюк или индюшка
1	1	0	1	0	0	0	из чего дешевле построить склад
0	1	0	1	1	0	0	что лучше  рст или оригинал
1	1	0	1	1	0	0	какая система письма египетская вавилонская или финикийская была проще
0	1	0	1	1	0	0	какая стиральная машина лучше lg или bosch
0	1	0	1	0	0	0	какие пеленки лучше
1	1	0	1	1	0	0	что экономичнее газ или бензин
1	0	1	1	1	0	0	что приоритетнее знак или разметка
0	1	0	1	1	0	0	что лучше северное гоа или южное
0	0	1	0	0	1	0	как отличить подделку видеорегистратора
1	0	1	1	0	0	0	в какой стране меньше болеют раком
0	1	1	2	1	0	0	в чем заключается преимущество диплоидности по сравнению с гаплоидным состоянием
0	1	1	1	1	0	0	что лучше сермион или кавинтон
1	1	0	1	0	0	0	каким шрифтом лучше писать на сайте
1	1	0	1	0	0	0	в каком переводе смотреть бойцовский клуб
0	0	0	1	1	0	0	как правильно запасный выход или запасной выход
0	1	0	1	1	0	0	что лучше huppa или kerry
0	1	0	1	0	0	0	какие котлы лучше
0	0	1	0	1	0	0	чем отличается iphone 4 от iphone 4s
0	1	0	1	0	0	0	какой домкрат лучше
0	1	0	0	1	1	0	как отличить китайский айпод от оригинала
0	1	0	0	1	0	0	чем отличается религиозная вера от веры интуиции
0	1	0	1	1	0	0	что лучше планшет или psp
1	1	0	1	0	0	0	куда выгоднее вложить деньги
0	0	1	0	1	0	0	чем отличаются неврозы от психозов
0	1	0	1	1	0	0	какой телефон лучше nokia c503 или nokia 5800
0	1	0	1	1	0	0	что лучше 7,62 или 5,45
0	1	0	1	1	0	0	что лучше велотренажер или беговая дорожка
0	1	0	0	1	1	0	как отличить iphone 3 от подделки
1	0	1	1	1	0	0	как правильно валерьевич или валериевич
0	1	0	0	1	0	0	чем отличается вода крещенская от богоявленской
1	0	1	0	1	0	0	что общего в строении молекул днк и рнк
0	0	1	0	1	0	0	чем различается выделение веществ у растений и животных
1	1	0	1	1	0	0	что легче иметь свободу или не иметь её почему
0	1	0	1	0	0	0	какой тв 3d лучше
1	0	1	1	0	0	1	какое самое быстрое животное в мире
0	1	0	2	1	0	0	чем 42 лучше от 43
0	1	0	0	1	0	0	чем отличается лексус от тойота
0	1	0	1	1	0	0	что лучше нокиа х6 или 5800
0	1	1	0	1	0	0	как отличить гусиное перо от куриного
0	0	1	0	1	0	0	в чем проявляется сходство человека и человекообразных обезьян
1	1	1	2	1	0	0	какие новые явления в развитии хозяйства руси 13 15 вв можно выделить в сравнении с предшествующим периодом
0	1	0	1	1	0	0	что лутше fifa или pes
1	0	1	1	0	0	1	какое царство органического мира самое древнее
0	0	1	1	0	0	1	какая страна приняла больше всего иммигрантов
0	1	0	1	1	0	0	что выбрать ноутбук или планшет
0	1	0	0	1	1	0	как отличить самку от самца у гуппи
0	1	0	1	1	0	0	куда лучше ехать в черногорию или хорватию
0	1	0	0	0	1	0	как правильно выбрать женские трусики
0	1	0	0	1	0	0	что общего в позициях высказанных черчиллем и хрущевым
0	1	1	1	1	0	0	что хуже кальян или сигареты
1	0	1	1	1	0	0	какие из перечисленных видов топлива природный газ каменный уголь атомная энергия способствуют созданию парникового эффекта
0	1	0	0	1	0	0	в чем разница между взрослыми и нами
1	0	1	1	0	0	1	какая самая большая гора россии
1	1	0	1	1	0	0	какая система письма египетская вавилонская или финикийская была проще
1	1	0	1	0	0	0	какая рация лучше для дальнобоя
1	1	0	1	1	0	0	что быстрее урал или днепр
1	1	0	1	1	0	0	какую воду лучше использовать для питья грунтовую или межпластовую
0	1	0	1	0	0	0	l-карнитин какой лучше
0	1	0	1	0	0	0	какой лучше купить телефон в 2012
0	1	0	1	0	0	0	какой лучше диск для записи музыки
0	1	0	1	0	0	0	какой из телефонов самсунг лучше купить
0	1	0	1	0	1	0	как выбрать телескоп
1	1	0	1	0	0	0	куда лучше сходить с девушкой на первое свидание?
0	0	1	0	1	0	0	в чем разница между проточным и накопительным водонагревателем
0	1	0	1	1	0	0	что лучьше ipad или samsung galaxy tab
0	1	0	1	0	0	0	из чего лучше сделать полы в гараже
0	1	0	1	0	0	0	какую сигнализацию поставить
1	1	0	1	1	0	0	что безопаснее пенобетон или газосиликат их отличия
0	1	1	1	1	0	0	когда лучше заниматься спортом утром или вечером
0	1	0	1	0	0	0	какой ваз лучше
0	0	1	0	1	0	0	чем внешняя политика святослава отличалась от внешней политики первых князей древнерусского государства
1	1	0	1	0	0	0	какой пескобетон лучше для стяжки пола
1	1	0	1	0	0	0	в каком роддоме хорошая детская реанимация
0	1	0	1	1	0	0	что лучше плазма или жк
1	1	1	1	1	0	0	чьи клетки крупнее мухи или слона
0	1	0	1	0	0	0	какой сайдинг лучше
0	0	1	0	1	1	0	как отлечить iphone 3gs от 3g
1	1	0	1	0	0	0	какой аккумулятор для форд транзит
0	1	1	1	0	0	0	в какое время года лучше рожать
0	1	1	1	0	0	1	что лучше есть при холецистите
0	0	1	0	1	0	0	чем отличаются простые предложения от сложных
0	1	0	1	1	0	0	какие окна лучше kbe или veka
1	0	1	1	1	0	0	как правильно не трогай щенка или не трожь щенка
0	1	0	1	0	1	0	как выбрать планшетный компьютер
0	0	1	0	1	0	0	чем отличается крекинг процесс от перегонки нефти
0	1	0	1	0	0	0	тату где сделать
0	1	0	1	0	0	0	какой мобильный интернет лучше
0	1	0	1	0	0	0	как лучше доехать до черногории
0	1	0	1	0	1	0	как выбрать ибп
0	0	1	0	1	0	0	что общего у основных видов индивидуально педагогических явлений
0	1	1	1	1	0	0	какое стекло лучше минеральное или сапфировое
1	1	0	2	1	0	0	почему ольга забыла ленского быстрее чем татьяна
0	1	0	1	1	0	0	что лучше триколор или нтв плюс?
0	0	1	1	1	0	0	как правильно проводы или проводины
0	1	1	1	1	0	0	что лучше ципрофлоксацин или офлоксацин
1	0	1	1	0	0	1	какого народа на земле живет больше всего после китайцев
1	1	1	2	1	0	0	почему в европейской части россии плотность населения больше чем в  азиатской
0	1	0	0	1	1	0	как отличить самку от самца неразлучников
0	0	1	1	1	0	0	как правильно гравер или гровер
1	1	0	1	0	0	0	какая лампа лучше для наращивания ногтей
0	0	1	0	1	0	0	чем состав днк отличается от рнк
0	1	0	0	1	0	0	в чём отличие программиста и пользователя
0	1	0	1	1	0	0	какие диски лучше кованые или литые
0	0	0	0	0	0	1	где самый точный прогноз погоды
1	1	0	1	0	0	0	какая любовь настоящая?
0	1	1	0	1	0	0	как отличить волнистого попугая мальчика от девочки
0	0	0	0	0	0	1	испания где лучшие пляжи
0	1	0	1	1	0	0	какой телефон лучше нокиа или самсунг
0	0	1	0	1	0	0	в чем разница между шпионом и разведчиком
1	0	1	1	1	0	0	как правильно незачтено или не зачтено
0	1	0	1	1	0	0	что лучше видеокарта или процессор
0	1	0	1	1	0	0	какой планшет выбрать acer или asus
0	1	0	1	1	0	0	что круче xbox 360 или ps3
0	0	0	0	0	0	1	где самые красивые замки
0	1	0	1	1	0	0	что удобней ноутбук или планшет
1	0	1	1	0	0	1	какая гора самая высокая на планете
1	0	0	1	0	0	1	где лучше отдыхать в ялте цены 2012
1	1	0	1	0	0	0	какой фильтр для очистки воды лучше
0	1	0	1	0	0	0	кем лучше играть аллоды
0	0	1	1	0	1	0	как отличить ложный маслёнок
0	1	0	1	1	0	0	что выбрать ниссан кашкай или мицубиси асх
0	1	1	0	1	0	0	чем отличаются сплит системы от кондиционеров
0	0	0	0	0	0	1	за кого вы проголосуете на ближайших президентских выборах
1	0	1	1	1	1	0	как отличить настоящий шампиньон от ложного
1	1	0	1	0	0	1	какой вид спорта самый скучный
1	0	1	0	1	0	0	что общего в питании молюсков и ланцетников
0	0	1	0	1	0	0	какая разница между склонением и спряжением
0	1	0	1	1	0	0	какую ванну выбрать чугунную или акриловую
0	1	0	1	0	0	1	кто самая лучшая порно звезда
0	1	0	0	1	0	0	чем отличается лампочка от солнца
0	1	0	0	0	1	0	как визуально отличить ipad2 от ipad3
0	1	0	0	0	1	0	как правильно подобрать смесительный узел
1	0	1	2	1	0	0	какие новые органы появились у моллюсков по сравнению с червями
0	0	0	0	0	0	1	кто стал лучшим игроком евро 2012
1	1	0	1	0	0	1	какие самые качественные автомобили
0	0	1	0	1	0	0	чем отличается структура власти при екатерине 1 от петровского времени
0	1	0	0	1	0	0	чем человек может отличаться от других
1	1	0	1	1	0	0	что лучше брать в тайланд доллары или евро
0	1	0	1	1	0	0	что лучше турция или кипр
0	0	0	0	1	1	1	как отличить саженец груши от яблони
1	1	0	1	0	0	1	куда лучше поехать отдыхать на море в августе
0	1	0	1	0	0	0	какой телефон лучше купить видео
1	1	1	1	1	0	0	что полезней бег или ходьба
0	0	0	1	1	0	0	как правильно написать со 2 или с 2
0	1	0	0	1	0	0	как играют мальчики и девочки
0	1	0	1	1	0	0	кого выбрать подругу или парня
0	0	1	0	1	0	0	чем отличается сфера от шара
0	1	0	0	1	0	0	чем кесарята отличаются от других детей
1	0	1	2	1	0	0	почему iphone 4 8gb дороже iphone 4 16gb
1	1	0	1	0	0	0	где лучше купить шубу в саратове
0	1	0	1	0	0	0	где лучше отдыхать во вьетнаме в марте
0	1	0	1	0	0	0	где лучше остановиться в риме
1	0	1	1	1	0	0	как писать девяносто или девяноста
